,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
142,K00352,5802.0,100,4.7,1,-0.011,0.06,0.12,-99,0,12.223,0.025,298.06765189,49.4125409636,kmag,allsky,cks1
143,K00355,6127.6,100,4.7,1,0.203,0.06,0.12,-99,0,11.845,0.019,296.566658661,49.6961741944,kmag,allsky,cks1
144,K00356,5485.0,100,4.7,1,0.028,0.06,0.12,-99,0,11.892,0.021,297.736360539,49.6371009827,kmag,allsky,cks1
145,K00360,5990.9,100,4.7,1,-0.092,0.06,0.12,-99,0,11.582,0.021,289.214758408,50.650836515,kmag,allsky,cks1
146,K00361,5697.1,100,4.7,1,0.143,0.06,0.12,-99,0,11.623,0.023,289.880580438,51.2769907153,kmag,allsky,cks1
147,K00365,5497.9,100,4.7,1,-0.08,0.06,0.12,-99,0,9.645,0.013,297.486550259,49.6233975206,kmag,allsky,cks1
148,K00367,5731.4,100,4.7,1,0.189,0.06,0.12,-99,0,9.64,0.017,284.472247329,39.9118889677,kmag,allsky,cks1
149,K00369,6182.5,100,4.7,1,-0.134,0.06,0.12,-99,0,10.792,0.011,281.91561279,42.7755535259,kmag,allsky,cks1
150,K00370,6110.2,100,4.7,1,0.058,0.06,0.12,-99,0,10.628,0.016,291.387739745,44.5290465178,kmag,allsky,cks1
151,K00371,5182.7,100,4.7,1,0.138,0.06,0.12,-99,0,10.17,0.017,299.676192862,40.8564951637,kmag,allsky,cks1
152,K00372,5815.7,100,4.7,1,-0.016,0.06,0.12,-99,0,10.915,0.018,299.122463908,41.8667952647,kmag,allsky,cks1
153,K00373,5737.9,100,4.7,1,-0.326,0.06,0.12,-99,0,11.316,0.018,292.234919073,42.9094618174,kmag,allsky,cks1
154,K00374,5842.4,100,4.7,1,-0.183,0.06,0.12,-99,0,10.81,0.014,290.624995303,44.8737757287,kmag,allsky,cks1
155,K00377,5787.8,100,4.7,1,0.082,0.06,0.12,-99,0,12.337,0.021,285.573990394,38.400819222,kmag,allsky,cks1
156,K00379,6175.6,100,4.7,1,0.17,0.06,0.12,-99,0,11.517,0.021,292.056504901,37.7760769984,kmag,allsky,cks1
157,K00384,6178.4,100,4.7,1,0.035,0.06,0.12,-99,0,11.733,0.021,294.149652865,38.4582070226,kmag,allsky,cks1
158,K00385,5475.5,100,4.7,1,0.12,0.06,0.12,-99,0,11.783,0.021,292.214969742,38.5485468569,kmag,allsky,cks1
159,K00386,6000.7,100,4.7,1,0.076,0.06,0.12,-99,0,12.475,0.023,294.11076306,38.7102221723,kmag,allsky,cks1
160,K00387,4790.8,100,4.7,1,-0.009,0.06,0.12,-99,0,11.089,0.02,287.218727256,38.8625365594,kmag,allsky,cks1
161,K00388,5781.2,100,4.7,1,0.119,0.06,0.12,-99,0,11.776,0.02,284.706854567,38.9367566204,kmag,allsky,cks1
162,K00392,5943.2,100,4.7,1,0.097,0.06,0.12,-99,0,12.416,0.022,287.975721287,39.0871679827,kmag,allsky,cks1
163,K00393,6240.7,100,4.7,1,-0.196,0.06,0.12,-99,0,12.289,0.023,294.029073381,39.0517892894,kmag,allsky,cks1
164,K00399,6141.7,100,4.7,1,0.008,0.06,0.12,-99,0,11.518,0.018,293.9660573,42.8372634528,kmag,allsky,cks1
