,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
115,K00265,5875.0,60,4.7,1,0.13,0.12,0.12,-99,0,10.665,0.017,297.01880743013965,50.409045993799715,kmag,allsky,smemp
116,K00266,6065.0,60,4.7,1,-0.19,0.12,0.12,-99,0,10.379000000000001,0.012,295.40425457638645,42.98127891137121,kmag,allsky,smemp
117,K00268,6153.0,60,4.7,1,-0.22,0.12,0.12,-99,0,9.604,0.02,285.7289073969025,38.50690026003318,kmag,allsky,smemp
118,K00269,6216.0,60,4.7,1,-0.23,0.12,0.12,-99,0,9.754,0.011,287.34567369935786,43.37838936589832,kmag,allsky,smemp
119,K00271,5975.0,60,4.7,1,0.26,0.12,0.12,-99,0,10.234,0.019,285.18994385154554,46.02805955786796,kmag,allsky,smemp
120,K00273,5627.0,60,4.7,1,0.34,0.12,0.12,-99,0,9.968,0.018,287.47864743014696,38.2290751402896,kmag,allsky,smemp
121,K00274,5971.0,60,4.7,1,-0.12,0.12,0.12,-99,0,10.109,0.011,282.49226218741416,43.98024422312906,kmag,allsky,smemp
122,K00275,5732.0,60,4.7,1,0.25,0.12,0.12,-99,0,10.252,0.019,285.31118446651004,47.84847747469322,kmag,allsky,smemp
123,K00276,5992.0,60,4.7,1,-0.03,0.12,0.12,-99,0,10.483,0.025,289.6643940163124,48.706164966293535,kmag,allsky,smemp
124,K00277,6056.0,60,4.7,1,-0.22,0.12,0.12,-99,0,10.788,0.022,291.25018591838347,49.231807267963525,kmag,allsky,smemp
125,K00279,6157.0,60,4.7,1,0.14,0.12,0.12,-99,0,10.429,0.017,295.4865820684573,51.0135237174864,kmag,allsky,smemp
126,K00280,5969.0,60,4.7,1,-0.41,0.12,0.12,-99,0,9.785,0.017,286.68959855788904,39.21208016643627,kmag,allsky,smemp
127,K00281,5748.0,60,4.7,1,-0.5,0.12,0.12,-99,0,10.446,0.02,287.6550196013779,39.24417164295344,kmag,allsky,smemp
128,K00282,5771.0,60,4.7,1,-0.26,0.12,0.12,-99,0,10.49,0.02,288.45059052259626,40.24520055945281,kmag,allsky,smemp
129,K00283,5683.0,60,4.7,1,0.17,0.12,0.12,-99,0,10.079,0.017,288.53089238110744,40.94237295393122,kmag,allsky,smemp
130,K00285,5894.0,60,4.7,1,0.19,0.12,0.12,-99,0,10.402999999999999,0.018,289.08606066142113,41.563022439536965,kmag,allsky,smemp
131,K00288,6091.0,60,4.7,1,0.27,0.12,0.12,-99,0,9.705,0.013999999999999999,293.7164655087855,46.22668776508746,kmag,allsky,smemp
132,K00289,5906.0,60,4.7,1,-0.41,0.12,0.12,-99,0,11.187,0.016,282.94553840621137,47.57491809167379,kmag,allsky,smemp
133,K00291,5646.0,60,4.7,1,0.29,0.12,0.12,-99,0,11.32,0.016,297.2778905581714,48.32035415541159,kmag,allsky,smemp
134,K00292,5798.0,60,4.7,1,-0.19,0.12,0.12,-99,0,11.345,0.026,287.3265291626387,48.67334425594578,kmag,allsky,smemp
135,K00294,6061.0,60,4.7,1,0.02,0.12,0.12,-99,0,11.315,0.022,298.26892168515656,48.91673908347891,kmag,allsky,smemp
136,K00295,5909.0,60,4.7,1,-0.22,0.12,0.12,-99,0,10.951,0.019,284.7391155730032,49.598444786250326,kmag,allsky,smemp
137,K00296,5764.0,60,4.7,1,-0.17,0.12,0.12,-99,0,11.469,0.023,285.04162348185105,50.075391251782996,kmag,allsky,smemp
138,K00297,6113.0,60,4.7,1,0.05,0.12,0.12,-99,0,10.875,0.019,286.24717394732835,50.24236941952036,kmag,allsky,smemp
139,K00299,5418.0,60,4.7,1,0.11,0.12,0.12,-99,0,11.253,0.017,285.66169334771286,37.964567200865744,kmag,allsky,smemp
140,K00301,5962.0,60,4.7,1,-0.16,0.12,0.12,-99,0,11.456,0.022,290.4950938580685,38.79549564789801,kmag,allsky,smemp
141,K00302,6428.0,60,4.7,1,-0.04,0.12,0.12,-99,0,10.987,0.013999999999999999,295.6087625417183,38.73573678516445,kmag,allsky,smemp
142,K00303,5597.0,60,4.7,1,-0.26,0.12,0.12,-99,0,10.630999999999998,0.018,293.67551381056285,41.29520611710474,kmag,allsky,smemp
143,K00304,5801.0,60,4.7,1,-0.18,0.12,0.12,-99,0,11.109000000000002,0.019,287.09001901714987,41.37375756121818,kmag,allsky,smemp
144,K00305,4620.0,60,4.7,1,0.14,0.12,0.12,-99,0,10.757,0.018,297.3539993691182,41.30004524926161,kmag,allsky,smemp
145,K00306,5286.0,60,4.7,1,0.12,0.12,0.12,-99,0,10.761,0.021,299.31967081185496,41.384744686357905,kmag,allsky,smemp
146,K00308,6065.0,60,4.7,1,-0.09,0.12,0.12,-99,0,11.040999999999999,0.018,293.9297336702184,41.602904824826695,kmag,allsky,smemp
