id_obs,id_name,obs_bjd,obs_counts,obs_exposure_time,obs_logline,obs_decker,smemp_teff,smemp_teff_err,smemp_radius,smemp_fe,smemp_fe_err,smsyn_teff,smsyn_teff_err,smsyn_logg,smsyn_logg_err,smsyn_fe,smsyn_fe_err,smsyn_vsini
j152.920,CK00153,2456101.89171334,10012.0,483.4552002,920    CK00153        n   9:20:52   483  ( 9:20:52) C2  10k    ,C2,4608.0,110.0,0.743,0.1,0.09,4754.88304218,100.0,4.44253207662,0.1,0.14405261561,0.06,2.38891019231
j152.921,CK02389,2456101.89854252,10024.0,405.14120483,921    CK02389        n   9:29:56   405  ( 9:29:55) C2  10k  ,C2,5882.0,110.0,1.04,-0.12,0.09,5834.60701938,100.0,4.05851130325,0.1,-0.0770059571442,0.06,2.36579536301
j152.922,CK02398,2456101.90438546,10032.0,386.41799927,922    CK02398        n   9:37:54   386  ( 9:37:53) C2  10k    ,C2,6098.0,110.0,1.817,-0.46,0.09,6164.01378242,100.0,4.24718438565,0.1,-0.309226346466,0.06,8.16476882337
j152.923,CK02414,2456101.91000288,10028.0,466.21002197,923    CK02414        n   9:46:19   466  ( 9:46:20) C2  10k    ,C2,5566.0,110.0,1.265,-0.5,0.09,5580.70227804,100.0,4.05416571578,0.1,-0.289850673465,0.06,1.64033814682
j152.924,CK01784,2456101.91610303,10028.0,454.36437988,924    CK01784        n   9:55:47   454  ( 9:55:42) C2  10k    ,C2,5933.0,110.0,1.082,-0.02,0.09,6089.62709911,100.0,4.66108489227,0.1,0.0522068814823,0.06,5.88938413942
j152.925,CK01916,2456101.92300685,10016.0,446.11959839,925    CK01916        n  10:04:42   445  (10:04:39) C2  10k    ,C2,5766.0,110.0,1.154,0.2,0.09,5873.01720619,100.0,4.358892079,0.1,0.220565207716,0.06,5.75350845576
j152.926,CK02481,2456101.92993335,10020.0,570.97955322,926    CK02481        n  10:14:37   570  (10:14:37) C2  10k    ,C2,4850.0,110.0,4.936,0.22,0.09,4682.64093543,100.0,2.90048647535,0.1,0.108503885498,0.06,4.13818880045
j152.927,CK02530,2456101.93636833,10012.0,404.34240723,927    CK02530        n  10:24:24   404  (10:24:22) C2  10k    ,C2,5913.0,110.0,1.673,0.2,0.09,5912.58350471,100.0,4.01610133961,0.1,0.135411333344,0.06,4.49252223526
j152.928,CK01917,2456101.94190119,10008.0,428.70999146,928    CK01917        n  10:32:42   428  (10:32:37) C2  10k    ,C2,5863.0,110.0,1.2,-0.11,0.09,5944.99454601,100.0,4.33102295351,0.1,-0.0720722370744,0.06,3.18812866691
j152.929,CK01271,2456101.94783132,10024.0,418.08840942,929    CK01271        n  10:41:02   417  (10:40:59) C2  10k    ,C2,6119.0,110.0,1.754,-0.49,0.09,6311.60054501,100.0,4.32702293986,0.1,-0.277582508018,0.06,6.90072421862
j152.930,CK01863,2456101.95379162,10008.0,452.54519653,930    CK01863        n  10:49:54   452  (10:49:51) C2  10k    ,C2,5861.0,110.0,1.175,0.17,0.09,5993.77319388,100.0,4.40465643531,0.1,0.216029417598,0.06,4.6858194193
j152.931,CK02252,2456101.96040508,10008.0,420.21679688,931    CK02252        n  10:58:39   420  (10:58:42) C2  10k    ,C2,6015.0,110.0,1.901,0.07,0.09,6115.56836129,100.0,4.01655704626,0.1,0.0842385223941,0.06,7.61319493525
